"typologie";"voie";"arrdt";"cycling_length"
"Pistes cyclables";"ALLEE DE LONGCHAMP";"16";"14.34877579"
"Bandes cyclables";"PLACE MADELEINE RENAUD ET JEAN LOUIS BARRAULT";"15";"8.49821403"
"Pistes cyclables";"BOULEVARD AUGUSTE BLANQUI";"13";"25.80119445"
"Pistes cyclables";"BOULEVARD AUGUSTE BLANQUI";"13";"17.66426904"
"Pistes cyclables";"BOULEVARD AUGUSTE BLANQUI";"13";"38.03793183"
"Pistes cyclables";"BOULEVARD SAINT JACQUES";"14";"19.91278168"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DE VAUGIRARD";"15";"157.75814691"
"Bandes cyclables";"RUE DU COUEDIC";"14";"8.2320076"
"Bandes cyclables";"RUE HALLE";"14";"58.54591243"
"Couloirs de bus ouverts aux vélos";"BOULEVARD ARAGO";"13";"57.31086473"
"Bandes cyclables";"RUE DU PERE CORENTIN";"14";"18.4072271"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"5";"65.58265359"
"Bandes cyclables";"BOULEVARD SAINT GERMAIN";"5";"48.60698473"
"Couloirs de bus ouverts aux vélos";"RUE DE LA TOMBE ISSOIRE";"14";"136.51874615"
"Couloirs de bus ouverts aux vélos";"RUE SAINT SULPICE";"6";"106.10068088"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"7";"21.31454402"
"Pistes cyclables";"QUAI DE L HOTEL DE VILLE";"4";"9.93892373"
"Pistes cyclables";"QUAI DES CELESTINS";"4";"3.67811337"
"Bandes cyclables";"RUE SARRETTE";"14";"156.44923499"
"Bandes cyclables";"RUE GUYNEMER";"6";"14.47739302"
"Pistes cyclables";"BOULEVARD MORLAND";"4";"64.84496894"
"Couloirs de bus ouverts aux vélos";"BOULEVARD HENRI IV";"4";"24.86931182"
"Bandes cyclables";"RUE SAINT JACQUES";"5";"14.39945936"
"Bandes cyclables";"RUE MONGE";"5";"19.82159672"
"Bandes cyclables";"AVENUE DES GOBELINS";"5";"7.83153656"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT MICHEL";"5";"31.00381059"
"Couloirs de bus ouverts aux vélos";"RUE GAY LUSSAC";"5";"12.68016079"
"Bandes cyclables";"COURS LA REINE";"8";"151.27483322"
"Bandes cyclables";"COURS ALBERT 1ER";"8";"18.31589902"
"Pistes cyclables";"COURS LA REINE";"8";"220.70576756"
"Bandes cyclables";"BOULEVARD MALESHERBES";"8";"27.89281272"
"Bandes cyclables";"BOULEVARD MALESHERBES";"8";"126.88901205"
"Bandes cyclables";"BOULEVARD MALESHERBES";"8";"139.70809221"
"Pistes cyclables";"AVENUE ERNEST RENAN";"15";"8.76219621"
"Pistes cyclables";"Quai André Citroën";"15";"185.08794594"
"Pistes cyclables";"BOULEVARD DE MENILMONTANT";"20";"14.81802825"
"Pistes cyclables";"Avenue Geroges Lafenestre";"14";"220.99448071"
"Pistes cyclables";"Quai d'Austerlitz";"13";"152.38036964"
"Pistes cyclables";"QUAI DE VALMY";"10";"66.7859611"
"Bandes cyclables";"AVENUE DAUMESNIL";"12";"35.25714464"
"Couloirs de bus ouverts aux vélos";"Rue de Lyon";"12";"67.39554715"
"Pistes cyclables";"Rue du Château Landon";"10";"235.80775271"
"Pistes cyclables";"Rue du Château Landon";"10";"125.17415444"
"Pistes cyclables";"Rue Pouchet";"17";"9.60934089"
"Couloirs de bus ouverts aux vélos";"AVENUE GAMBETTA";"20";"16.33522342"
"Bandes cyclables";"Rue Saint-Armand";"15";"138.39967208"
