"voie";"arrdt";"cycling_length"
"Quai de la Tournelle";"5";"11.29123037"
"Quai de Montebello";"5";"118.96397452"
"BOULEVARD EXELMANS";"16";"61.37061881"
"Quai de la Tournelle";"5";"9.51991713"
"PORTE DE VINCENNES";"20";"34.97015446"
"PORTE DE VINCENNES";"12";"9.84510565"
"AVENUE COURTELINE";"12";"77.13310678"
"AVENUE COURTELINE";"12";"31.71787101"
"BOULEVARD DE PICPUS";"12";"25.76783466"
"BOULEVARD SOULT";"12";"39.21652529"
"BOULEVARD SOULT";"12";"30.4830292"
"BOULEVARD DE MENILMONTANT";"20";"11.8463628"
"BOULEVARD DE CHARONNE";"20";"6.56611522"
"BOULEVARD DE CHARONNE";"20";"44.835696"
"BOULEVARD DE CHARONNE";"20";"24.88093784"
"QUAI FRANCOIS MAURIAC";"13";"474.57479719"
"BOULEVARD PICPUS";"12";"523.97559979"
"Routes des Lacs à Passy";"16";"8.53365387"
"Boulevard Berthier";"17";"202.91832822"
"RUE HAXO";"20";"42.13907424"
"RUE LOUIS LUMIERE";"20";"68.91195096"
"Rue Marcadet";"18";"25.27933837"
"RUE DU TELEGRAPHE";"20";"105.86061823"
"RUE DE L EQUERRE";"19";"139.46762522"
"AVENUE JEAN JAURES";"19";"89.7262147"
"AVENUE JEAN JAURES";"19";"3.94953769"
"RUE LOUIS PASTEUR VALLERY RADOT";"18";"13.82489594"
"PLACE FELIX EBOUE";"12";"20.59034806"
"BOULEVARD DE CHARONNE";"20";"7.55051414"
"AVENUE DES CANADIENS";"12";"63.34120329"
"Rue Lagrange";"5";"9.17666297"
"Place Skanderbeg";"19";"14.2021131"
"RUE LOUIS LUMIERE";"20";"68.7255111"
"AVENUE DE GRAVELLE";"12";"193.71004527"
"RUE SIGMUND FREUD";"19";"19.79151175"
"RUE SIGMUND FREUD";"19";"17.44623205"
"BOULEVARD D INDOCHINE";"19";"9.54191847"
"BOULEVARD SERURIER";"19";"11.99614776"
"BOULEVARD SERURIER";"19";"11.98833197"
"RUE BACHELET";"18";"14.06035448"
"BOULEVARD MALESHERBES";"17";"59.14786538"
"BOULEVARD MALESHERBES";"17";"28.79817628"
"BOULEVARD MACDONALD";"19";"141.94139537"
"BOULEVARD NEY";"18";"31.04322899"
"BOULEVARD NEY";"18";"131.14130546"
"BOULEVARD NEY";"18";"151.22245746"
"RUE DES FRERES FLAVIEN";"20";"28.73144777"
"RUE DES FRERES FLAVIEN";"20";"9.22900577"
"BOULEVARD MALESHERBES";"17";"105.48865595"
"BOULEVARD MALESHERBES";"17";"29.57180271"
"PLACE DE WAGRAM";"17";"14.30652442"
"PLACE DE WAGRAM";"17";"15.95911848"
"PLACE DU MARECHAL JUIN";"17";"16.74302637"
"BOULEVARD GOUVION SAINT CYR";"17";"25.12389868"
"BOULEVARD DAVOUT";"20";"7.25768628"
"RUE LANTIEZ";"17";"4.90613176"
"VOIE MAZAS";"4";"478.53199711"
"RUE EDOUARD PAILLERON";"19";"20.01088309"
"Quai de la Tournelle";"5";"23.7929223"
"Quai de Montebello";"5";"12.51862047"
"Quai Branly";"7";"496.25399641"
"Boulevard de Strasbourg";"2";"664.60912953"
"Boulevard Arago";"13";"12.55345545"
"Avenue des Champs-Elysées";"8";"474.42409671"
"Quai Saint-Bernard";"5";"668.8853522"
"RUE DE CLIGNANCOURT";"18";"50.21630446"
"PONT MIRABEAU";"15";"117.69676905"
"QUAI DE LA RAPEE";"12";"168.88811595"
"RUE LAFAYETTE";"10";"24.97761985"
"BOULEVARD DES INVALIDES";"7";"117.34878069"
"Avenue des Champs-Elysées";"8";"16.18565305"
"Avenue des Champs-Elysées";"8";"87.06612098"
"Avenue Georges Lafenestre";"14";"44.32893484"
"Quai d'Austerlitz";"13";"13.1193978"
"Avenue de la Porte Molitor";"16";"31.62056034"
"QUAI DE VALMY";"10";"49.97099369"
"RUE NATIONALE";"13";"34.54656483"
